,mean_1,third quartile_1,std_1,peak count_1,coefOfVar_1,mean_2,third quartile_2,std_2,peak count_2,coefOfVar_2,mean_5,third quartile_5,std_5,peak count_5,coefOfVar_5,mean_10,third quartile_10,std_10,peak count_10,coefOfVar_10,mean_20,third quartile_20,std_20,peak count_20,coefOfVar_20,mean_30,third quartile_30,std_30,peak count_30,coefOfVar_30,mean_40,third quartile_40,std_40,peak count_40,coefOfVar_40,mean_50,third quartile_50,std_50,peak count_50,coefOfVar_50
9027,9.94350616581,9.94680717002,0.002121910956,1.0,0.000213396655126,9.94350616581,9.94450637123,0.0030895017842,1.0,0.000310705472766,9.94342901897,9.94595169835,0.00251079021466,2.0,0.000252507481058,9.94352925501,9.94534123111,0.00406632749163,2.0,0.000408942075529,9.94349285546,9.94650428853,0.00733327767787,4.0,0.000737495142247,9.94348409616,9.94909864557,0.0119458118942,7.0,0.00120137084533,9.94349182636,9.95307980295,0.016394208961,11.0,0.00164873761122,9.94349405633,9.95437926445,0.0207290395383,14.0,0.00208468365555
9028,9.94486683115,9.9464943506,0.00139794613627,1.0,0.000140569618478,9.94486683115,9.94962911246,0.00937254760278,1.0,0.000942450790133,9.94346698123,9.94702277594,0.00618591075285,2.0,0.000622108039835,9.94533536967,9.95436398427,0.0277297404903,2.0,0.00278821572723,9.94802562246,9.95507393569,0.0321432699685,4.0,0.00323112054476,9.94606076297,9.95448880203,0.0438291327468,5.0,0.00440668258432,9.94488275647,9.95734921305,0.0514335063595,8.0,0.00517185648328,9.94445932646,9.95751366152,0.0568309653125,10.0,0.00571483712153
9029,9.94014669885,9.94303435749,0.00279595869889,1.0,0.000281279420073,9.94014669885,9.94135954732,0.00491785736411,1.0,0.000494746960292,9.93947663532,9.94332166876,0.00474244490433,2.0,0.000477132255382,9.93908498568,9.94368258516,0.007007376634,2.0,0.000705032369085,9.93963841293,9.94593630396,0.0109776238824,5.0,0.00110442889633,9.94050133604,9.94986167697,0.0143252054709,7.0,0.00144109486903,9.94071614321,9.95108383475,0.0185878107136,10.0,0.00186986636031,9.94069881285,9.95241298268,0.0230810261299,13.0,0.00232187158714
9030,9.94362523603,9.94751542612,0.0023552752264,1.0,0.00023686283126,9.94362523603,9.94701732737,0.00569112250109,1.0,0.000572338796566,9.94387324875,9.94632175358,0.0107848473961,2.0,0.0010845720904,9.94434061827,9.94661103183,0.00962179446504,2.0,0.000967564852652,9.94374919884,9.94942963359,0.0115131370367,3.0,0.00115782657089,9.94364888322,9.95379768846,0.0181175040117,6.0,0.00182201767424,9.94370721169,9.95898759704,0.0234642514748,9.0,0.00235970860518,9.94367593065,9.95946948092,0.0265271437387,11.0,0.00266774017212
9031,9.94206630559,9.94364706993,0.00123324031261,1.0,0.000124042656194,9.94206630559,9.94371479701,0.00313165858265,1.0,0.000314990715852,9.94196079604,9.94347073783,0.00246963675591,2.0,0.000248405400763,9.94259089452,9.94391803609,0.0028718712851,2.0,0.000288845363906,9.94265424784,9.9446968596,0.00594954944724,2.0,0.000598386436754,9.94239731879,9.94633650456,0.0102887856359,5.0,0.00103483951666,9.94222222917,9.94867178284,0.0137859469664,10.0,0.00138660619815,9.9421374114,9.94994050415,0.0162737618594,10.0,0.00163684740877
9032,9.94346450622,9.94439082164,0.00085022645663,1.0,8.55060583862e-05,9.94346450622,9.94460415097,0.00170655556053,1.0,0.000171625851278,9.94374393697,9.94490108749,0.00118780683184,2.0,0.000119452676916,9.94378922753,9.94484555012,0.00200870028976,2.0,0.000202005517595,9.94346910536,9.94658505297,0.0038403297341,6.0,0.000386216288642,9.94339759296,9.94800529766,0.00697485110208,6.0,0.000701455517279,9.94346744489,9.95029097205,0.00956459567308,13.0,0.000961897419194,9.94352637316,9.95228776835,0.0114254073424,13.0,0.00114902972181
9033,9.96951561788,10.0016232377,0.0318394258735,1.0,0.00319367831838,9.96951561788,9.95753310279,0.08355079333,1.0,0.00838062715707,9.95373355944,9.97124907921,0.066071046563,2.0,0.00663781546577,9.96172635703,9.98927416221,0.106949757074,2.0,0.0107360665452,9.96193778196,9.98709080664,0.135672834647,3.0,0.0136191208595,9.95834278503,9.97971553784,0.194048908237,6.0,0.0194860643408,9.96176415452,9.98689365651,0.247530336492,12.0,0.0248480422395,9.96535488558,9.96321409472,0.309771279053,13.0,0.0310848216255
9034,9.37418471566,9.80728898699,0.609875715738,2.0,0.0650590674535,9.37418471566,9.80728898699,0.609875715738,2.0,0.0650590674535,9.35527256501,9.64449479685,0.289222231843,0.0,0.0309154254816,9.35527256501,9.56915384626,0.605031834658,1.0,0.0646728174357,9.35527256501,10.2647746544,0.906281104524,1.0,0.0968738321867,9.26884403283,9.50190924914,0.335266665283,1.0,0.0361713568699,9.34758950666,9.65904013544,0.481403423082,2.0,0.0515002742406,9.37418471566,9.80728898699,0.609875715738,2.0,0.0650590674535
9035,9.8780562695,9.97923740388,0.156225730699,3.0,0.015815432352,9.87799128383,9.91540320673,0.0374119229075,0.0,0.00378740189504,9.87799128383,9.93508436906,0.0935327919097,1.0,0.00946880688818,9.88279485175,9.92819474664,0.0480073768549,1.0,0.00485767210339,9.88422699504,9.95707469641,0.0656228422415,2.0,0.00663914763132,9.87901756548,9.96342250167,0.111354272732,2.0,0.0112717962079,9.87777390114,9.99682116374,0.138499878086,3.0,0.0140213654891,9.8780562695,9.97923740388,0.156225730699,3.0,0.015815432352
9036,9.81833926942,9.83441487806,0.014205398693,1.0,0.00144682296091,9.81833926942,9.84820543052,0.0306100946823,1.0,0.00311764483202,9.81222908033,9.831418343,0.0424123053988,2.0,0.00432239250139,9.81927900746,9.84214435223,0.0536855246141,2.0,0.00546735911805,9.82485061049,9.85325276004,0.065106253583,4.0,0.00662669145458,9.82054067117,9.85889444407,0.0912026876805,6.0,0.00928693141592,9.81783729512,9.87354699479,0.115882659485,9.0,0.0118032776468,9.81665026722,9.88085954827,0.139538942485,13.0,0.0142145170386
